parking,rooms,info_card_type,bathrooms,balcony,title,floor,terrace,link,price,elevator,surface,heating,swimming_pool,air_conditioner
,5 habs.,re-CardPackAdvance-info,3 baños,,"Ático en venta en Alosa, 10, L'Aragai",,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-jardin-terraza-ascensor-piscina-piscina/162925749/d?from=list,435.000 €,Ascensor,149 m²,,,
,4 habs.,re-CardPackAdvance-info,2 baños,,"Planta baja en venta en Calle de Josep Llanza, 32, Centre Vila",,,/es/comprar/vivienda/obra-nueva/vilanova-i-la-geltru/19960139/165687655?from=list,296.000 €,Ascensor,130 m²,,,
,4 habs.,re-CardPackAdvance-info,2 baños,,"Piso en venta en Avenida Torre del Valles, La Collada - Sis Camins",Bajos,,/es/comprar/vivienda/obra-nueva/vilanova-i-la-geltru/20011853/176789027?from=list,426.354 €,,128 m²,,,
,3 habs.,re-CardPackAdvance-info,1 baño,,Piso en venta en Centre Vila,5ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/parking-terraza-trastero-ascensor/164711963/d?from=list,207.000 €,,75 m²,,,
,1 hab.,re-CardPackAdvance-info,1 baño,,Piso en venta en Nord,1ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/nord/176959952/d?from=list,135.000 €,,48 m²,,,
,4 habs.,re-CardPackAdvance-info,2 baños,,Piso en venta en Sant Joan,1ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-terraza-trastero-ascensor/176975375/d?from=list,299.000 €,,129 m²,,,
,1 hab.,re-CardPackAdvance-info,1 baño,,"Piso en venta en Calle Carrer de Les Casernes, Centre Vila",2ª Planta,,/es/comprar/vivienda/obra-nueva/vilanova-i-la-geltru/19877526/165273632?from=list,187.340 €,,42 m²,,,
,4 habs.,re-CardPackAdvance-info,2 baños,,"Casa o chalet en venta en Camí de la Masia en Frederic, Nord",,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-parking-jardin-terraza-trastero-patio/165311431/d?from=list,197.000 €,,114 m²,,,
,3 habs.,re-CardPackAdvance-info,2 baños,,"Piso en venta en Dr Fleming, Sant Joan",1ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion/177282288/d?from=list,220.000 €,,101 m²,,,
,4 habs.,re-CardPackAdvance-info,2 baños,,"Piso en venta en Dr Zamenhof, Molí de Vent",1ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-ascensor-parking/176958204/d?from=list,244.000 €,,112 m²,,,
,4 habs.,re-CardPackAdvance-info,2 baños,,"Piso en venta en Joan Llaverias, Sant Joan",1ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-trastero-ascensor-parking/176844939/d?from=list,259.000 €,,105 m²,,,
,3 habs.,re-CardPackAdvance-info,1 baño,,"Piso en venta en Francesc Macià, Sant Joan",3ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-ascensor/177472820/d?from=list,165.000 €,,69 m²,,,
,3 habs.,re-CardPackAdvance-info,2 baños,,"Planta baja en venta en Calle Canaries, Barri del Mar",Bajos,,/es/comprar/vivienda/obra-nueva/vilanova-i-la-geltru/19760711/164991214?from=list,368.500 €,,111 m²,,,
,3 habs.,re-CardPackAdvance-info,2 baños,,"Ático en venta en Beatriu de Claramunt, Nord",4ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-parking-terraza-trastero-ascensor/177188805/d?from=list,229.000 €,,134 m²,,,
